\ Stellar Population Table
\ 
\ Parameters:
\ 
\type="phoenix"
\id=0
\n_stars=2192
\age_l=1e+09
\age_h=1e+09
\met_l=0.000000
\met_h=0.000000
\imf="salpeter"
\alpha=2.350000
\distribution="invpow"
\clustered="False"
\radius=10.000000
\radius_units="pc"
\dist_l=20000
\dist_h=20000
\offset_ra=0.000000
\offset_dec=0.000000
\ 
|  ID|               RA|               DEC|     Distance|         Age|Metallicity|          Mass|Binary|Dataset|     Absolute|     Apparent|
|long|           double|            double|       double|      double|     double|        double|double| double|       double|       double|
|    |          degrees|           degrees|           pc|       years|           |  solar masses|      |       |    johnson,u|    johnson,u|
|null|             null|              null|         null|        null|       null|          null|  null|   null|         null|         null|
   40      359.99319322   0.00953265977683 19997.8694132 1000000000.0         0.0 0.119342401203    0.0     0.0 16.5103085571 33.0152271976 
   41     359.998861277  9.41389639829e-05 19998.8822684 1000000000.0         0.0 0.602470171281    0.0     0.0  10.625600204 27.1306288227 
   42  0.00128622102863   0.00328743375825 19998.7388165 1000000000.0         0.0 0.152341948691    0.0     0.0 15.3462135084 31.8512265512 
   43     359.999145211   -0.0023786461481 19999.2537283 1000000000.0         0.0 0.534991851113    0.0     0.0  11.195363779 27.7004327304 
   44 8.07480737499e-05  0.000101231068326  19999.832148 1000000000.0         0.0 0.104275326803    0.0     0.0 17.5484299833 34.0535617372 
   45  0.00345615128982  -0.00537051705294 20000.3337952 1000000000.0         0.0 0.115647181542    0.0     0.0 16.7649091917 33.2700954111 
   46    0.002944422638  -0.00164630478693 19999.4247702 1000000000.0         0.0 0.103278769824    0.0     0.0 17.6170927592 34.1221802818 
   47  0.00550997097114  0.000989267154755 20001.1101409 1000000000.0         0.0 0.224291544461    0.0     0.0 13.9534568038 30.4587273108 
   48     359.998841212  2.75419516064e-05 20000.6272626 1000000000.0         0.0    0.191658926    0.0     0.0 14.4838261244 30.9890442058 
   49 0.000144707058037 -0.000119263418416 19998.9278694 1000000000.0         0.0  0.17324412617    0.0     0.0 14.8631710009  31.368204571 
   50  0.00319498518986  -0.00427144231803 19997.4057222 1000000000.0         0.0 0.102960989806    0.0     0.0 17.6389878023 34.1438560923 
   51 0.000859991996975 -0.000160472353131 19997.9009705 1000000000.0         0.0 0.181151377379    0.0     0.0  14.700281626 31.2052036931 
   52  0.00130119150951 -0.000975744764965 19999.4997898 1000000000.0         0.0 0.133377947321    0.0     0.0 15.9432600545 32.4483557225 
   53     359.994713491   0.00461363548667 20001.5878946 1000000000.0         0.0 0.165568867946    0.0     0.0 15.0212813203 31.5266036953 
   54     359.999361555 -3.08690306809e-05 20000.1351989 1000000000.0         0.0 0.108701119718    0.0     0.0 17.2434928514 33.7486575087 
   55     359.999486541   0.00523895904347 19996.7004182 1000000000.0         0.0 0.196025230467    0.0     0.0 14.3938802524 30.8986719536 
   56     359.999477528 -1.81886574764e-05  20000.733132 1000000000.0         0.0 0.182500187625    0.0     0.0 14.6724961349 31.1777257106 
   57   0.0021761543563  0.000659072210449 19999.2693841 1000000000.0         0.0 0.100180305411    0.0     0.0 17.8305769572 34.3356476084 
   58  0.00404542355225 -0.000676241189429 20001.5414898 1000000000.0         0.0 0.199762547815    0.0     0.0  14.316891515  30.822208852 
   59 0.000325304750647 -0.000105679025132  20002.206145 1000000000.0         0.0 0.545843373335    0.0     0.0 11.1105048922 27.6158943865 
   60 0.000935647248744 -0.000521751707789 20000.6369788 1000000000.0         0.0 0.305379913277    0.0     0.0 12.9989802519 29.5041993882 
   61     359.999758105   0.00151005101148 20000.9972541 1000000000.0         0.0  1.69100520691    0.0     0.0 2.47499350301 18.9802517541 
   62  0.00569061857114     0.013513661788 19999.9836592 1000000000.0         0.0 0.857973740842    0.0     0.0 7.60363802422 24.1087862284 
